time,x,theta
5.35,-0.171332,-0.427833
5.36,-0.170474,-0.439755
5.37,-0.16951,-0.452446
5.38,-0.168441,-0.465925
5.39,-0.167265,-0.480206
5.4,-0.165984,-0.495307
5.41,-0.164598,-0.511247
5.42,-0.163108,-0.528041
5.43,-0.161516,-0.54571
5.44,-0.159824,-0.56427
5.45,-0.158035,-0.583741
5.46,-0.156151,-0.604141
5.47,-0.154177,-0.625489
5.48,-0.152116,-0.647803
5.49,-0.149975,-0.671102
5.5,-0.147759,-0.695404
5.51,-0.145476,-0.720725
5.52,-0.143133,-0.747086
5.53,-0.14074,-0.774501
5.54,-0.138306,-0.802988
5.55,-0.135844,-0.832564
5.56,-0.133366,-0.863245
5.57,-0.130886,-0.895046
5.58,-0.128419,-0.927983
5.59,-0.125981,-0.962071
5.6,-0.123592,-0.997325
5.61,-0.121269,-1.03376
5.62,-0.119035,-1.07139
5.63,-0.116911,-1.11024
5.64,-0.114921,-1.15031
5.65,-0.113091,-1.19163
5.66,-0.111447,-1.23421
5.67,-0.110018,-1.27808
5.68,-0.108833,-1.32325
5.69,-0.107924,-1.36974
5.7,-0.107323,-1.41758
5.71,-0.107064,-1.4668
5.72,-0.107182,-1.51743
5.73,-0.107714,-1.56949
5.74,-0.108698,-1.62302
5.75,-0.110171,-1.67806
5.76,-0.112174,-1.73464
5.77,-0.114747,-1.79282
5.78,-0.11793,-1.85264
5.79,-0.121764,-1.91414
5.8,-0.126289,-1.97737
5.81,-0.131544,-2.04239
5.82,-0.137565,-2.10924
5.83,-0.144386,-2.17797
5.84,-0.152036,-2.24862
5.85,-0.160538,-2.32122
5.86,-0.169905,-2.39578
5.87,-0.18014,-2.47229
5.88,-0.191231,-2.55072
5.89,-0.20315,-2.631
5.9,-0.215846,-2.71302
5.91,-0.229247,-2.79662
5.92,-0.243253,-2.88156
5.93,-0.257743,-2.96758
5.94,-0.272569,-3.05436
5.95,-0.287569,-3.14152
5.96,-0.30257,3.0545
5.97,-0.317395,2.96772
5.98,-0.331879,2.88171
5.99,-0.34587,2.79678
6,-0.359239,2.71323
6.01,-0.371882,2.63129
6.02,-0.38372,2.55112
6.03,-0.394701,2.47283
6.04,-0.404792,2.3965
6.05,-0.413981,2.32217
6.06,-0.422269,2.24983
6.07,-0.429672,2.17947
6.08,-0.436212,2.11106
6.09,-0.44192,2.04456
6.1,-0.446831,1.97991
6.11,-0.450984,1.91706
6.12,-0.454418,1.85596
6.13,-0.457175,1.79656
6.14,-0.459298,1.7388
6.15,-0.460828,1.68265
6.16,-0.461807,1.62805
6.17,-0.462276,1.57496
6.18,-0.462274,1.52335
6.19,-0.46184,1.47317
6.2,-0.461011,1.42441
6.21,-0.459823,1.37702
6.22,-0.458311,1.33098
6.23,-0.456509,1.28626
6.24,-0.454448,1.24285
6.25,-0.452158,1.20073
6.26,-0.449669,1.15986
6.27,-0.447008,1.12025
6.28,-0.4442,1.08186
6.29,-0.441271,1.04468
6.3,-0.438242,1.0087
6.31,-0.435136,0.973909
6.32,-0.431973,0.940283
6.33,-0.428771,0.907812
6.34,-0.425547,0.87648
6.35,-0.422318,0.846273
6.36,-0.419097,0.817178
6.37,-0.415899,0.789178
6.38,-0.412734,0.762258
6.39,-0.409615,0.736404
6.4,-0.40655,0.711598
6.41,-0.403549,0.687826
6.42,-0.400619,0.66507
6.43,-0.397766,0.643314
6.44,-0.394998,0.622541
6.45,-0.392318,0.602735
6.46,-0.389732,0.583878
6.47,-0.387243,0.565954
6.48,-0.384854,0.548946
6.49,-0.382567,0.532837
6.5,-0.380386,0.51761
6.51,-0.37831,0.503251
6.52,-0.376343,0.489743
6.53,-0.374484,0.47707
6.54,-0.372734,0.46522
6.55,-0.371094,0.454176
6.56,-0.369565,0.443926
6.57,-0.368145,0.434457
6.58,-0.366835,0.425758
6.59,-0.365635,0.417816
6.6,-0.364544,0.410621
6.61,-0.363563,0.404164
6.62,-0.362691,0.398436
6.63,-0.361927,0.393429
6.64,-0.361272,0.389136
6.65,-0.360725,0.385552
6.66,-0.360286,0.382671
6.67,-0.359954,0.380489
6.68,-0.359729,0.379003
6.69,-0.359612,0.378211
6.7,-0.359603,0.378111
6.71,-0.3597,0.378705
6.72,-0.359905,0.379993
6.73,-0.360218,0.381976
6.74,-0.360638,0.384657
6.75,-0.361166,0.388041
6.76,-0.361803,0.392133
6.77,-0.362548,0.396937
6.78,-0.363403,0.402462
6.79,-0.364367,0.408714
6.8,-0.365442,0.415702
6.81,-0.366626,0.423436
6.82,-0.367922,0.431926
6.83,-0.369329,0.441183
6.84,-0.370847,0.45122
6.85,-0.372476,0.462049
6.86,-0.374217,0.473684
6.87,-0.376069,0.486139
6.88,-0.378032,0.499428
6.89,-0.380106,0.513567
6.9,-0.382289,0.528571
6.91,-0.384579,0.544458
6.92,-0.386976,0.561244
6.93,-0.389478,0.578944
6.94,-0.39208,0.597578
6.95,-0.394782,0.617161
6.96,-0.397577,0.637712
6.97,-0.400463,0.659247
6.98,-0.403433,0.681783
6.99,-0.406481,0.705338
7,-0.409601,0.729929
7.01,-0.412785,0.755572
7.02,-0.416023,0.782284
7.03,-0.419305,0.81008
7.04,-0.422621,0.838976
7.05,-0.425957,0.868987
7.06,-0.4293,0.900129
7.07,-0.432635,0.932417
7.08,-0.435946,0.965864
7.09,-0.439215,1.00049
7.1,-0.442423,1.0363
7.11,-0.445549,1.07331
7.12,-0.448571,1.11155
7.13,-0.451466,1.15101
7.14,-0.454209,1.19173
7.15,-0.456774,1.23372
7.16,-0.459132,1.27699
7.17,-0.461254,1.32157
7.18,-0.46311,1.36748
7.19,-0.464667,1.41474
7.2,-0.465893,1.46337
7.21,-0.466751,1.51341
7.22,-0.467207,1.56488
7.23,-0.467222,1.61782
7.24,-0.46676,1.67226
7.25,-0.465779,1.72825
7.26,-0.464241,1.78582
7.27,-0.462106,1.84502
7.28,-0.459333,1.90589
